coin,trade_count,total_closed_pnl,average_closed_pnl,median_closed_pnl,win_count,average_trade_size_usd,total_fees,win_rate_percent
HYPE,68005,1948484.599761,28.65207852012352,0.0,28222,2087.9377406073086,25361.93044,41.5
@107,29992,2783912.919016,92.82184979381168,0.0,14024,1859.1910719525208,5953.22478799,46.76
BTC,26064,868044.732638,33.30435591766421,0.0,9144,24717.31570864027,139224.226804,35.08
ETH,11158,1319978.838852,118.29887424735615,0.0,4016,10600.555123678078,23091.303645,35.99
SOL,10691,1639555.927506,153.35851908203162,0.0,4219,11699.06950332055,27956.304402,39.46
FARTCOIN,4650,-100687.213185,-21.653164125806452,0.0,1527,1787.3957849462367,2357.939012,32.84
MELANIA,4428,390351.069856,88.15516482746162,0.0,1966,1590.0430103884373,1010.388542,44.4
PURR/USDC,2774,75261.058019,27.130878882119685,0.0,989,592.0759516943042,1844.556381,35.65
WLD,1983,22281.920156,11.236470073625819,0.0,711,1408.3921482602118,621.7480410000001,35.85
SUI,1979,199268.834922,100.69168010207176,0.0,839,3931.8684133400707,2003.206129,42.4
TRUMP,1920,-364824.908179,-190.01297300989583,0.0,671,3827.7848645833337,1729.745411,34.95
XRP,1774,3756.901464999999,2.117757308342728,0.0,572,3011.9563303269447,701.847927,32.24
kPEPE,1730,18676.997284,10.795952187283238,0.0,493,1416.6474393063584,425.37706000000003,28.5
kBONK,1647,35551.245276,21.585455540983606,0.0,615,1818.9317425622344,266.038007,37.34
FTT,1560,6909.363767,4.429079337820513,0.0,535,246.6380128205128,95.193397,34.29
ONDO,1463,24570.824905,16.794822218045113,0.0,709,1180.1654750512646,172.208685,48.46
@142,1309,7450.359672,5.69164222459893,0.0,272,1899.428013750955,181.1329677428,20.78
PAXG,1265,-18688.874329,-14.773813698814228,0.0,207,2408.96157312253,568.814553,16.36
ZRO,1239,183777.783689,148.3275090306699,0.0,455,979.6815334947538,234.069003,36.72
PURR,1198,26766.355202,22.342533557595992,2.01017,816,917.0217863105177,137.889422,68.11
