direction,trade_count,total_closed_pnl,average_closed_pnl,median_closed_pnl,win_count,average_trade_size_usd,total_fees,win_rate_percent
Auto-Deleveraging,8,57478.456026,7184.80700325,5237.9855575,8,21188.46875,0.0,100.0
Buy,16716,0.0,0.0,0.0,0,1866.2836228762862,3764.9820507308,0.0
Close Long,48678,3622929.387547,74.42642235808783,6.755721,42686,7851.868377706561,78562.523455,87.69
Close Short,36013,3709800.104576,103.0128038368367,4.742265,28068,4992.666359370227,40252.3945,77.94
Liquidated Isolated Short,1,-12752.91304,-12752.91304,-12752.91304,0,32910.88,0.0,0.0
Long > Short,57,1991.379008,34.9364738245614,0.149986,41,15647.756140350877,120.58325500000001,71.93
Open Long,49895,0.0,0.0,0.0,0,7619.429500150316,76852.422514,0.0
Open Short,39741,0.0,0.0,0.0,0,4667.342607886063,39967.944407,0.0
Sell,19902,2906748.415633,146.05308087795197,6.540913,16005,1512.8526836498845,6174.785305,80.42
Settlement,1,-29.215368,-29.215368,-29.215368,0,782.83,0.0,0.0
Short > Long,70,10793.329053999998,154.19041505714281,12.542475,61,15946.603428571429,162.085079,87.14
Spot Dust Conversion,142,0.0,0.0,0.0,0,0.1797887323943662,0.0,0.0
